Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,1.17,1.17,1.06,1.09,45800,1.09
2015-08-06,1.11,1.16,1.11,1.16,4400,1.16
2015-08-05,1.16,1.18,1.12,1.12,23100,1.12
2015-08-04,1.17,1.19,1.14,1.17,22200,1.17
2015-08-03,1.20,1.20,1.14,1.20,8900,1.20
2015-07-31,1.23,1.23,1.17,1.17,5500,1.17
2015-07-30,1.24,1.24,1.16,1.20,7300,1.20
2015-07-29,1.17,1.17,1.14,1.17,1000,1.17
2015-07-28,1.15,1.17,1.13,1.17,40400,1.17
2015-07-27,1.14,1.14,1.08,1.11,25400,1.11
2015-07-24,1.15,1.15,1.09,1.15,44200,1.15
2015-07-23,1.14,1.17,1.11,1.13,14400,1.13
2015-07-22,1.16,1.16,1.08,1.13,36800,1.13
2015-07-21,1.18,1.21,1.09,1.12,62300,1.12
2015-07-20,1.28,1.29,1.11,1.22,138400,1.22
2015-07-17,1.21,1.29,1.20,1.26,119400,1.26
2015-07-16,1.16,1.29,1.16,1.21,112300,1.21
2015-07-15,1.16,1.30,1.10,1.19,188100,1.19
2015-07-14,1.06,1.24,1.06,1.19,202500,1.19
2015-07-13,1.08,1.10,1.07,1.07,8600,1.07
2015-07-10,1.12,1.12,1.06,1.10,8100,1.10
2015-07-09,1.05,1.14,1.05,1.14,18800,1.14
2015-07-08,1.04,1.05,1.04,1.04,30900,1.04
2015-07-07,1.05,1.05,1.03,1.04,55400,1.04
2015-07-06,1.04,1.10,1.04,1.05,47000,1.05
2015-07-02,1.04,1.07,1.03,1.03,35000,1.03
2015-07-01,1.06,1.21,1.03,1.05,99000,1.05
2015-06-30,1.04,1.06,1.01,1.03,32700,1.03
2015-06-29,0.99,1.06,0.98,1.06,43900,1.06
2015-06-26,1.04,1.04,0.99,1.03,42800,1.03
2015-06-25,1.07,1.07,1.03,1.05,51300,1.05
2015-06-24,1.03,1.08,1.03,1.07,11100,1.07
2015-06-23,1.13,1.13,1.04,1.07,51800,1.07
2015-06-22,1.06,1.14,1.05,1.09,72900,1.09
2015-06-19,1.05,1.22,1.05,1.06,370000,1.06
2015-06-18,1.06,1.06,1.01,1.01,19300,1.01
2015-06-17,0.99,1.07,0.99,1.07,30000,1.07
2015-06-16,1.01,1.05,1.00,1.02,29400,1.02
2015-06-15,1.05,1.05,1.00,1.05,90200,1.05
2015-06-12,1.07,1.07,1.06,1.06,23500,1.06
2015-06-11,1.05,1.08,1.05,1.05,3500,1.05
2015-06-10,1.05,1.06,1.05,1.05,2800,1.05
2015-06-09,1.03,1.08,1.03,1.07,12700,1.07
2015-06-08,1.05,1.06,1.02,1.03,15200,1.03
2015-06-05,1.03,1.04,1.03,1.04,7100,1.04
2015-06-04,1.01,1.04,1.00,1.04,21300,1.04
2015-06-03,1.04,1.05,1.00,1.05,32200,1.05
2015-06-02,1.05,1.05,1.04,1.04,5400,1.04
2015-06-01,1.07,1.07,1.04,1.05,19700,1.05
2015-05-29,1.04,1.07,1.04,1.07,2700,1.07
2015-05-28,1.05,1.05,1.05,1.05,2100,1.05
2015-05-27,1.04,1.05,1.04,1.05,1800,1.05
2015-05-26,1.03,1.04,1.03,1.04,2700,1.04
2015-05-22,1.04,1.05,1.01,1.05,12100,1.05
2015-05-21,1.09,1.09,1.03,1.06,9400,1.06
2015-05-20,1.04,1.23,1.01,1.05,317300,1.05
2015-05-19,1.05,1.07,1.01,1.07,43200,1.07
2015-05-18,1.05,1.05,1.04,1.05,12000,1.05
2015-05-15,1.05,1.10,1.03,1.03,46700,1.03
2015-05-14,1.04,1.09,1.04,1.09,40300,1.09
2015-05-13,1.04,1.06,1.04,1.05,5800,1.05
2015-05-12,1.07,1.08,1.03,1.03,32800,1.03
2015-05-11,1.13,1.15,1.04,1.04,9900,1.04
2015-05-08,1.07,1.07,1.03,1.06,27500,1.06
2015-05-07,1.03,1.07,1.03,1.04,13100,1.04
2015-05-06,1.06,1.06,1.03,1.03,20000,1.03
2015-05-05,1.10,1.10,1.05,1.09,53100,1.09
2015-05-04,1.08,1.11,1.08,1.11,5000,1.11
2015-05-01,1.11,1.11,1.08,1.08,4400,1.08
2015-04-30,1.07,1.08,1.07,1.07,2500,1.07
2015-04-29,1.11,1.11,1.07,1.08,2700,1.08
2015-04-28,1.12,1.12,1.09,1.09,2000,1.09
2015-04-27,1.08,1.14,1.08,1.11,26100,1.11
2015-04-24,1.19,1.41,1.09,1.13,328900,1.13
2015-04-23,1.06,1.19,1.04,1.16,65700,1.16
2015-04-22,1.07,1.13,1.01,1.07,45600,1.07
2015-04-21,1.09,1.10,1.04,1.10,34200,1.10
2015-04-20,1.11,1.11,1.06,1.10,48300,1.10
2015-04-17,1.09,1.13,1.09,1.09,1200,1.09
2015-04-16,1.09,1.09,1.09,1.09,000,1.09
2015-04-15,1.11,1.11,1.04,1.09,17500,1.09
2015-04-14,1.11,1.11,1.11,1.11,500,1.11
2015-04-13,1.14,1.15,1.11,1.11,5200,1.11
2015-04-10,1.10,1.11,1.10,1.10,5500,1.10
2015-04-09,1.14,1.15,1.08,1.13,8100,1.13
2015-04-08,1.20,1.20,1.17,1.17,2600,1.17
2015-04-07,1.12,1.21,1.12,1.17,15100,1.17
2015-04-06,1.13,1.16,1.11,1.14,5600,1.14
2015-04-02,1.16,1.17,1.11,1.14,7100,1.14
2015-04-01,1.13,1.18,1.09,1.14,9000,1.14
2015-03-31,1.09,1.10,1.06,1.09,28700,1.09
2015-03-30,1.03,1.09,1.03,1.07,3600,1.07
2015-03-27,1.09,1.11,1.01,1.03,17800,1.03
2015-03-26,1.06,1.11,1.06,1.09,6600,1.09
2015-03-25,1.12,1.12,1.06,1.06,9400,1.06
2015-03-24,1.14,1.15,1.06,1.11,11400,1.11
2015-03-23,1.10,1.14,1.05,1.09,19400,1.09
2015-03-20,1.10,1.13,1.07,1.08,9800,1.08
2015-03-19,1.08,1.10,1.05,1.06,18700,1.06
2015-03-18,1.09,1.10,1.05,1.05,24400,1.05
2015-03-17,1.07,1.10,1.06,1.07,16700,1.07
2015-03-16,1.06,1.11,1.05,1.10,6400,1.10
2015-03-13,1.08,1.08,1.04,1.06,20400,1.06
2015-03-12,1.06,1.07,1.05,1.06,9000,1.06
2015-03-11,1.06,1.07,1.06,1.07,1400,1.07
2015-03-10,1.09,1.11,1.06,1.08,15000,1.08
2015-03-09,1.16,1.16,1.06,1.09,19300,1.09
2015-03-06,1.10,1.14,1.10,1.13,6700,1.13
2015-03-05,1.05,1.14,1.05,1.10,21700,1.10
2015-03-04,1.03,1.05,1.02,1.05,53200,1.05
2015-03-03,1.04,1.06,1.00,1.04,11500,1.04
2015-03-02,1.05,1.08,1.05,1.06,11300,1.06
2015-02-27,1.13,1.13,1.06,1.06,8800,1.06
2015-02-26,1.14,1.14,1.08,1.09,11800,1.09
2015-02-25,1.08,1.14,1.04,1.14,17100,1.14
2015-02-24,1.06,1.12,1.06,1.11,92100,1.11
2015-02-23,1.14,1.17,1.08,1.09,20200,1.09
2015-02-20,1.22,1.22,1.17,1.18,9800,1.18
2015-02-19,1.20,1.24,1.15,1.21,9200,1.21
2015-02-18,1.20,1.20,1.18,1.20,25100,1.20
