Date,Open,High,Low,Close,Volume,Adj Close
2015-06-05,2.34,2.37,2.25,2.25,1117600,2.25
2015-06-04,2.34,2.43,2.29,2.34,805400,2.34
2015-06-03,2.32,2.41,2.26,2.34,1480400,2.34
2015-06-02,2.16,2.29,2.13,2.26,1187700,2.26
2015-06-01,2.15,2.19,2.09,2.12,911900,2.12
2015-05-29,2.08,2.19,2.07,2.13,1511400,2.13
2015-05-28,2.05,2.12,2.03,2.06,7366200,2.06
2015-05-27,2.69,2.84,2.60,2.63,828500,2.63
2015-05-26,2.88,2.90,2.63,2.66,976800,2.66
2015-05-22,3.07,3.15,2.66,2.88,3490100,2.88
2015-05-21,2.27,3.47,2.26,2.95,5889300,2.95
2015-05-20,2.35,2.36,2.25,2.30,227900,2.30
2015-05-19,2.35,2.37,2.27,2.35,337700,2.35
2015-05-18,2.39,2.39,2.31,2.37,188200,2.37
2015-05-15,2.30,2.43,2.30,2.38,301500,2.38
2015-05-14,2.32,2.35,2.26,2.31,336200,2.31
2015-05-13,2.34,2.39,2.28,2.32,229800,2.32
2015-05-12,2.33,2.35,2.25,2.32,264200,2.32
2015-05-11,2.37,2.40,2.31,2.36,316700,2.36
2015-05-08,2.38,2.47,2.28,2.36,252100,2.36
2015-05-07,2.35,2.43,2.29,2.35,385400,2.35
2015-05-06,2.40,2.42,2.15,2.38,635800,2.38
2015-05-05,2.76,2.80,2.34,2.46,1001100,2.46
2015-05-04,2.78,2.90,2.78,2.82,263700,2.82
2015-05-01,2.85,2.94,2.79,2.79,208800,2.79
2015-04-30,2.90,2.92,2.78,2.88,361000,2.88
2015-04-29,2.92,3.03,2.81,2.87,236300,2.87
2015-04-28,2.90,3.09,2.90,2.94,398700,2.94
2015-04-27,2.97,3.06,2.90,2.91,326000,2.91
2015-04-24,3.06,3.12,2.91,2.91,353400,2.91
2015-04-23,2.89,3.12,2.88,3.05,524800,3.05
2015-04-22,2.83,2.91,2.70,2.88,398200,2.88
2015-04-21,2.98,3.00,2.79,2.82,311100,2.82
2015-04-20,2.93,3.07,2.85,3.01,534800,3.01
2015-04-17,2.84,2.92,2.80,2.83,213100,2.83
2015-04-16,2.88,2.95,2.87,2.89,317300,2.89
2015-04-15,2.90,2.98,2.90,2.91,342800,2.91
2015-04-14,3.00,3.00,2.91,2.96,155500,2.96
2015-04-13,2.95,3.00,2.91,2.96,312100,2.96
2015-04-10,2.94,2.99,2.88,2.98,264500,2.98
2015-04-09,3.12,3.14,2.88,2.92,426600,2.92
2015-04-08,3.04,3.11,2.90,3.10,414300,3.10
2015-04-07,2.78,3.09,2.70,3.08,714500,3.08
2015-04-06,2.72,2.78,2.66,2.73,309600,2.73
2015-04-02,2.80,2.94,2.71,2.71,659000,2.71
2015-04-01,2.52,2.65,2.34,2.62,826300,2.62
2015-03-31,2.60,2.61,2.53,2.54,626000,2.54
2015-03-30,2.76,2.76,2.53,2.64,670200,2.64
2015-03-27,2.96,2.98,2.67,2.77,844700,2.77
2015-03-26,3.06,3.15,2.92,2.94,870400,2.94
2015-03-25,3.27,3.27,3.04,3.08,579700,3.08
2015-03-24,3.20,3.29,3.20,3.28,241400,3.28
2015-03-23,3.15,3.35,3.14,3.22,200500,3.22
2015-03-20,3.32,3.37,3.15,3.17,531200,3.17
2015-03-19,3.18,3.43,3.17,3.30,417600,3.30
2015-03-18,3.57,3.57,3.13,3.15,905100,3.15
2015-03-17,3.76,3.79,3.52,3.57,563700,3.57
2015-03-16,4.24,4.25,3.56,3.81,849500,3.81
2015-03-13,3.94,4.18,3.92,4.03,1111800,4.03
2015-03-12,3.80,3.90,3.79,3.90,251100,3.90
2015-03-11,3.92,3.95,3.75,3.80,248500,3.80
2015-03-10,3.81,3.93,3.76,3.91,176600,3.91
2015-03-09,3.79,3.97,3.75,3.83,174300,3.83
2015-03-06,3.97,4.00,3.76,3.79,208300,3.79
2015-03-05,4.02,4.04,3.91,3.97,208800,3.97
2015-03-04,4.00,4.06,3.87,4.03,335400,4.03
2015-03-03,3.82,4.15,3.81,3.99,444700,3.99
2015-03-02,3.73,3.84,3.73,3.80,66800,3.80
2015-02-27,3.80,3.84,3.74,3.76,164900,3.76
2015-02-26,3.92,3.92,3.72,3.83,224700,3.83
2015-02-25,3.94,3.94,3.86,3.89,92300,3.89
2015-02-24,3.96,4.04,3.89,3.90,169300,3.90
2015-02-23,4.10,4.10,3.83,3.98,226500,3.98
2015-02-20,4.08,4.20,4.00,4.07,266600,4.07
2015-02-19,4.08,4.26,3.96,4.17,327200,4.17
2015-02-18,3.85,4.03,3.85,4.02,219200,4.02
2015-02-17,3.83,3.94,3.73,3.87,202800,3.87
2015-02-13,3.68,3.88,3.65,3.78,247700,3.78
2015-02-12,3.51,3.70,3.50,3.64,246700,3.64
2015-02-11,3.45,3.60,3.45,3.47,117700,3.47
2015-02-10,3.50,3.56,3.41,3.48,179500,3.48
2015-02-09,3.52,3.54,3.45,3.49,155100,3.49
2015-02-06,3.57,3.58,3.50,3.51,98400,3.51
2015-02-05,3.50,3.59,3.49,3.54,134800,3.54
2015-02-04,3.52,3.63,3.47,3.48,185500,3.48
2015-02-03,3.54,3.57,3.50,3.56,130100,3.56
2015-02-02,3.53,3.55,3.44,3.54,165700,3.54
2015-01-30,3.64,3.65,3.51,3.54,146200,3.54
2015-01-29,3.49,3.67,3.44,3.64,146400,3.64
2015-01-28,3.63,3.70,3.50,3.50,162800,3.50
2015-01-27,3.57,3.71,3.54,3.63,135900,3.63
2015-01-26,3.60,3.75,3.50,3.59,191600,3.59
2015-01-23,3.54,3.63,3.46,3.58,99800,3.58
2015-01-22,3.58,3.58,3.42,3.56,258900,3.56
2015-01-21,3.60,3.63,3.52,3.58,171400,3.58
2015-01-20,3.75,3.75,3.52,3.60,177600,3.60
2015-01-16,3.45,3.73,3.45,3.65,268200,3.65
2015-01-15,3.81,3.82,3.45,3.48,484200,3.48
2015-01-14,3.85,4.15,3.71,3.82,584800,3.82
2015-01-13,4.15,4.15,3.81,3.91,384800,3.91
2015-01-12,4.03,4.13,3.90,4.06,766400,4.06
2015-01-09,4.01,4.03,3.85,3.88,504100,3.88
2015-01-08,3.59,3.90,3.55,3.67,410700,3.67
2015-01-07,3.52,3.64,3.52,3.55,174000,3.55
2015-01-06,3.51,3.61,3.45,3.49,181600,3.49
