Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,4.15,4.15,4.15,4.15,000,4.15
2015-08-06,4.13,4.15,4.10,4.15,8700,4.15
2015-08-05,4.09,4.09,4.09,4.09,500,4.09
2015-08-04,4.059,4.059,4.059,4.059,000,4.059
2015-08-03,4.059,4.059,4.059,4.059,100,4.059
2015-07-31,4.05,4.05,4.05,4.05,200,4.05
2015-07-30,4.05,4.05,4.05,4.05,000,4.05
2015-07-29,4.12,4.12,4.04,4.05,4200,4.05
2015-07-28,4.10,4.10,4.10,4.10,500,4.10
2015-07-27,4.14,4.14,4.14,4.14,000,4.14
2015-07-24,4.14,4.14,4.14,4.14,000,4.14
2015-07-23,4.16,4.16,4.14,4.14,800,4.14
2015-07-22,4.20,4.20,4.20,4.20,300,4.20
2015-07-21,4.20,4.20,4.20,4.20,200,4.20
2015-07-20,4.19,4.30,4.19,4.23,4200,4.23
2015-07-17,4.17,4.24,4.101,4.24,9400,4.24
2015-07-16,4.18,4.24,3.97,4.048,5800,4.048
2015-07-15,4.095,4.095,3.96,3.96,600,3.96
2015-07-14,4.011,4.011,4.011,4.011,200,4.011
2015-07-13,4.23,4.23,4.23,4.23,000,4.23
2015-07-10,3.96,4.23,3.96,4.23,2200,4.23
2015-07-09,4.015,4.015,4.015,4.015,000,4.015
2015-07-08,4.015,4.015,4.015,4.015,900,4.015
2015-07-07,4.04,4.24,3.95,4.21,8400,4.21
2015-07-06,3.99,4.07,3.99,4.015,1500,4.015
2015-07-02,4.04,4.07,4.01,4.07,2000,4.07
2015-07-01,4.08,4.08,4.08,4.08,300,4.08
2015-06-30,4.172,4.172,4.10,4.10,300,4.10
2015-06-29,4.20,4.20,4.10,4.10,700,4.10
2015-06-26,4.07,4.22,4.07,4.22,2900,4.22
2015-06-25,4.21,4.24,4.16,4.20,3100,4.20
2015-06-24,4.10,4.24,3.95,4.23,8900,4.23
2015-06-23,3.97,4.09,3.95,4.07,2300,4.07
2015-06-22,4.11,4.15,4.11,4.15,700,4.15
2015-06-19,4.09,4.16,4.03,4.08,3400,4.08
2015-06-18,4.19,4.19,4.14,4.16,2100,4.16
2015-06-17,4.20,4.30,4.20,4.246,3900,4.246
2015-06-16,4.15,4.22,4.10,4.20,3100,4.20
2015-06-15,4.00,4.15,3.99,4.15,7200,4.15
2015-06-12,3.91,4.07,3.90,4.07,3000,4.07
2015-06-11,4.12,4.14,4.10,4.10,6800,4.10
2015-06-10,4.12,4.17,4.11,4.11,10400,4.11
2015-06-09,4.209,4.209,4.10,4.10,6600,4.10
2015-06-08,4.20,4.20,4.15,4.15,3600,4.15
2015-06-05,4.244,4.28,4.15,4.20,3700,4.20
2015-06-04,4.29,4.29,4.20,4.21,1700,4.21
2015-06-03,4.07,4.17,4.07,4.13,11400,4.13
2015-06-02,4.139,4.14,4.00,4.12,17700,4.12
2015-06-01,4.30,4.32,4.30,4.30,16200,4.30
2015-05-29,4.33,4.35,4.29,4.29,2400,4.29
2015-05-28,4.30,4.33,4.30,4.30,1700,4.30
2015-05-27,4.32,4.41,4.32,4.41,2500,4.41
2015-05-26,4.30,4.30,4.30,4.30,200,4.30
2015-05-22,4.31,4.32,4.31,4.32,2400,4.32
2015-05-21,4.32,4.32,4.32,4.32,100,4.32
2015-05-20,4.32,4.32,4.32,4.32,600,4.32
2015-05-19,4.32,4.32,4.30,4.30,900,4.30
2015-05-18,4.251,4.29,4.19,4.19,3200,4.19
2015-05-15,4.389,4.389,4.23,4.299,3200,4.299
2015-05-14,4.15,4.17,4.01,4.11,35000,4.11
2015-05-13,4.48,4.48,4.308,4.48,3300,4.48
2015-05-12,4.15,4.40,4.051,4.32,2600,4.32
2015-05-11,4.43,4.50,4.35,4.48,3700,4.48
2015-05-08,4.40,4.40,4.01,4.35,4800,4.35
2015-05-07,4.77,4.80,4.377,4.377,33600,4.377
2015-05-06,4.72,4.739,4.66,4.724,2200,4.724
2015-05-05,4.564,4.989,4.564,4.73,2600,4.73
2015-05-04,4.749,4.75,4.56,4.739,4800,4.739
2015-05-01,4.77,4.77,4.70,4.711,11400,4.711
2015-04-30,4.79,4.79,4.683,4.74,34700,4.74
2015-04-29,4.84,4.84,4.55,4.793,8500,4.793
2015-04-28,4.77,4.847,4.56,4.664,10800,4.664
2015-04-27,4.95,4.95,4.775,4.90,2700,4.90
2015-04-24,5.00,5.01,5.00,5.00,600,5.00
2015-04-23,5.05,5.05,5.05,5.05,600,5.05
2015-04-22,4.964,4.964,4.95,4.95,500,4.95
2015-04-21,4.954,5.00,4.95,5.00,4500,5.00
2015-04-20,5.00,5.00,4.96,4.983,1200,4.983
2015-04-17,4.97,4.97,4.96,4.96,600,4.96
2015-04-16,5.00,5.00,5.00,5.00,2200,5.00
2015-04-15,5.08,5.15,4.98,5.09,7600,5.09
2015-04-14,5.10,5.10,4.93,4.93,2500,4.93
2015-04-13,5.15,5.159,5.15,5.159,300,5.159
2015-04-10,5.18,5.18,5.051,5.10,2200,5.10
2015-04-09,4.98,5.09,4.97,5.043,10000,5.043
2015-04-08,5.19,5.19,4.974,5.08,10300,5.08
2015-04-07,5.00,5.19,4.928,5.17,4600,5.17
2015-04-06,5.10,5.18,4.94,5.05,5400,5.05
2015-04-02,5.19,5.19,4.96,5.17,2300,5.17
2015-04-01,5.15,5.19,4.95,5.19,6000,5.19
2015-03-31,5.25,5.25,5.07,5.07,2500,5.07
2015-03-30,5.15,5.27,5.10,5.27,4700,5.27
2015-03-27,5.27,5.29,5.04,5.12,4700,5.12
2015-03-26,5.39,5.39,5.31,5.32,3400,5.32
2015-03-25,5.38,5.38,4.95,5.34,14100,5.34
2015-03-24,5.40,5.45,5.35,5.398,5800,5.398
2015-03-23,5.40,5.40,5.273,5.39,3900,5.39
2015-03-20,5.40,5.40,5.211,5.36,2900,5.36
2015-03-19,5.249,5.38,5.249,5.38,17100,5.38
2015-03-18,5.29,5.29,5.104,5.193,15100,5.193
2015-03-17,5.20,5.24,4.55,5.24,37600,5.24
2015-03-16,5.07,5.07,4.71,4.71,8600,4.71
2015-03-13,5.11,5.24,4.906,4.906,11400,4.906
2015-03-12,5.05,5.05,5.05,5.05,700,5.05
2015-03-11,5.142,5.142,4.856,4.99,4200,4.99
